result_class,estimand,sampling_unit,null_model,metric,support,uncertainty_target
ngeo_atlas_robust_effect,effect stability across supplied atlases,source observations,common-source permutation,supplied support operators,target regions,permutation distribution of effect stability
ngeo_boundary_test,effect dispersion across supplied boundaries,source observations,common-source unconstrained permutation,supplied support operators,target regions,permutation distribution of boundary dispersion
ngeo_brain_landscape,thresholded patch and boundary geometry of declared layers,base elements and undirected graph edges,not applicable for descriptive landscape analysis,declared spatial-weights graph and caller thresholds,base-element support and graph adjacency,not applicable; thresholds and overlaps are descriptive
ngeo_brain_point_process,finite-domain ordered-pair enrichment relative to discrete complete spatial randomness,event pairs on the declared finite base,exposure-weighted discrete complete spatial randomness with recorded occupancy,recorded base distance method and radii,finite brain base with declared exposure,pointwise or simultaneous studentized global simulation envelope across declared radii within each marked-pair family and one-sided clustering tail when requested; not subject-level population uncertainty
ngeo_car,penalized spatial signal estimate,base elements,not applicable unless separately calibrated,declared spatial-weights graph,base elements,model residual variation
ngeo_car_uncertainty,CAR estimate under declared perturbations,declared resampling unit,declared resampling procedure,declared spatial-weights graph,base elements,distribution of CAR estimates
ngeo_common_support_test,effect under one common source null,source elements under declared exchangeability,recorded common-source null,supplied support operators,target regions,null distribution of the recorded statistic
ngeo_correlogram,spatial association by distance lag,base-element pairs,recorded permutation null,recorded distance method,base elements,permutation distribution by lag
ngeo_cross_atlas,effect sensitivity across supplied atlases,source observations,not applicable for descriptive sensitivity,supplied support operators,target regions,not applicable for descriptive sensitivity
ngeo_cross_atlas_consensus,descriptive or covariance-aware consensus across declared atlas estimates,atlas-specific estimates with supplied joint covariance or explicit independence,not applicable for descriptive consensus or the recorded inferential mode,supplied support operators,target regions,not applicable for descriptive consensus or the recorded uncertainty target
ngeo_getis,local concentration statistic,base elements,recorded permutation null,declared spatial-weights graph,base elements,permutation distribution of local statistics
ngeo_global_stat,global spatial autocorrelation statistic,base elements,value-label permutation when requested,declared spatial-weights graph,base elements,permutation distribution of the global statistic
ngeo_group_result,group-level effect,independent units declared by the design,recorded exchangeability schedule,not applicable unless the design declares one,feature support,confidence interval and permutation distribution of the group effect
ngeo_gwr,location-specific regression coefficient,base elements,not applicable for descriptive local fit,recorded distance and kernel,local kernel support,descriptive point estimates and conditioning diagnostics only
ngeo_gwr_bandwidth,predictive loss as a function of bandwidth,deterministic spatial validation blocks,not applicable for bandwidth selection,recorded distance and kernel,local kernel support,cross-validation loss
ngeo_gwr_uncertainty,GWR coefficient under declared perturbations,declared resampling unit,declared resampling procedure,recorded distance and kernel,local kernel support,distribution of local coefficients
ngeo_iterative_car,penalized spatial signal estimate,base elements,not applicable unless separately calibrated,declared spatial-weights graph,base elements,solver and model approximation uncertainty
ngeo_iterative_spatial_regression,spatial regression coefficient and dependence parameter,base elements,model likelihood assumptions,declared spatial-weights graph,base elements,optimization and stochastic log-determinant uncertainty
ngeo_kernel_regression,location-specific kernel-smoothed mean,base elements,not applicable for descriptive smoother,recorded distance and kernel,local kernel support,local fitted-value uncertainty
ngeo_kriging,conditional spatial prediction,observed base elements,Gaussian process model,recorded valid covariance metric,prediction targets,latent-process prediction variance
ngeo_kriging_uncertainty,kriging prediction under declared perturbations,declared resampling unit,declared resampling procedure,recorded valid covariance metric,prediction targets,distribution of spatial predictions
ngeo_lisa,local Moran statistic,base elements,recorded conditional or total randomization,declared spatial-weights graph,base elements,permutation distribution of local statistics
ngeo_local_layer_coupling,directed elementwise cross-layer spatial association,base elements within each declared unit-feature pair,recorded singleton Moran spectral randomization of the lagged map stack or shared free element permutation when requested; none for descriptive maps,declared spatial-weights graph,aligned base elements with declared support weights,raw and max-T reference-map p-values over the declared within-unit or within-map family; not population uncertainty
